Name,Occurrences
Abela,1
Abiathar,5
Abigail,3
Abimelech,1
Abinadab,1
Abisai,9
Absalom,8
Achimaas,1
Achinoam,1
Achitophel,4
Adam,1
Adarezer,2
Adeodatus,1
Adino,1
Ahio,1
Aia,1
Aliam,1
Ammiel,1
Ammihel,1
Ammon,7
Ammon ravisheth Thamar,1
Ammoni,1
Arari,1
Areuna,1
Armoni,1
Asael,3
Ascalon,1
Baal Pharisim,1
Banaias,3
Behold Abner,1
Benjamin,5
Bersabee,3
Berzellai,3
Bete,1
Bethmaacha,1
Bethsabee,1
Bochri,1
Bonni,1
Bur,1
Call Chusai the Arachite,1
Chamaam,1
Cheleab,1
Chron,2
Chusai,4
Chusai the Arachite,1
Cis,1
Cohen,1
Dan,3
David,23
Elehanan,1
Eliam,2
Ephraim,3
Ethai,2
Ethai the Gethite,1
Forrest,1
Gaas,1
Gabaa,3
Gabaon,2
Gad,1
Galaad,2
Gareb,1
Gelboe,1
Gera,2
Gessur,1
Gezer,1
God,18
Goliath the Gethite,1
Hachamoni,1
Hadriel,1
Haggith,1
Hanon,1
Hethite,1
Hevite,1
Hira,1
Hiram,1
Husati,1
I

18,1
Jairite,1
Japhia,1
Jazer,1
Jebahar,1
Jebusites,1
Jedidiah,1
Jesbaham,1
Jethra,1
Jethrite,1
Jezrael,1
Jezrahel,2
Joab,13
Joab procureth Absaloms,1
Joiada,1
Jonadab,1
Jonathan,7
Joram,1
Joseph,1
Juda,11
King,1
King Davids,1
kissed Berzellai,1
Lodabar,1
Lord,22
Maacha,2
Machir,2
Mahanaim,1
Maharai,1
marrieth her,1
Micha,1
Michol,2
Moab,2
Nathan,2
Nay,2
Nephtali,1
Ner,2
Obededom,1
Odollam,1
Oza,1
Patrui,1
Phaltiel,1
Rechab,1
Remmon the Berothite,1
Respha,2
Rogel,1
Rohob,2
Sadoc,3
Samae,1
Saraias,1
Sarar,1
Sarvia,1
Sarvia Joabs,1
Saul,11
Seba,1
Selmon the Ahohite,1
sepulchre,1
Shall Semei,1
Siba,1
Sidon,1
Sion,1
Sira,1
Soba,2
Sobach,1
Sobi,1
Solomon,4
Tarry,1
Thamar,1
Therefore Michol,1
thy masters,1
