Name,Occurrences
828,1
a Holy Ghost,1
Aaron,1
Abraham,3
Achaia,2
Agrippa,2
Alexander,2
Ananias,3
Andrew,1
Annas,1
Antioch,3
Antipatris,1
Aquila,1
Assos,1
Augustus,1
Barnabas,7
Barsabas,1
Bartholomew,1
Benjamin,1
Berea,2
Bernice,2
Bithynia,1
Blastus,1
bush,1
Caesarea,8
Cappadocia,1
Cilicia,6
Claudius Lysias,1
Cornelius,1
Crispus,1
Cyrene,3
Damaris,1
David,6
Demetrius,1
Derbe,2
Diana,1
Drusilla,1
Eneas,1
Ephesus,3
Epistles,1
Erastus,1
Eutychus,1
Farewell,1
Father,3
Felix,2
Festus,2
Gaius,2
Galatia,1
Galilee,5
Gallio,1
Gamaliel,2
Gentiles,10
God,27
Greeks,1
Haceldama,1
Herod,1
Holy Ghost,17
Isaac,2
Jacob,2
James,4
James of Alpheus,1
Jason,1
Jesse,1
Jesus,24
Jesus
Christ,2
Jesus Christ,12
John,11
Joppe,3
Joseph,3
Judas,4
Jude,1
Judea,4
Julius,1
King Agrippa,1
Lord,25
Lucius,1
Lycia,1
Lysias,1
Lystra,3
Mark,2
Mary,2
Matthew,1
Matthias,1
Melita,1
Mitylene,1
Mnason,1
Nicolas,1
Niger,1
Olivet,1
Paul,17
Paul at Berea,1
Perge,2
Peter,11
Pharisee,1
Pharisees,2
Philip,3
Priscilla,1
Publius,1
Rhode,1
Samaria,3
Samos,1
Samothracia,1
Samuel,2
Saron,1
Saul,8
Saul of Tarsus,1
Secundus,1
Seleucia,1
Septuagint,1
sepulchre,1
Sergius Paulus,1
Silas,3
Simon,6
Simon Zelotes,1
Solomon,3
Sopater,1
Stephen,3
Tabitha,1
Tarsus,1
Thalassa,1
the Holy Ghost,5
Thomas,1
thy Holy
One,1
Timon,1
Timothy,3
Timothy and,1
Titus Justus,1
Trophimus,1
Tyre,1
Whom,2
Whom Jason,1
