Name,Occurrences
Abraham,1
Alexander,4
Alexander the Great,2
Ammon,1
Ananias,1
angustia
temporum,1
Antichrist,4
Antiochus Epiphanes,3
Apadno,1
Apoc,1
Arioch,1
Artaxerxes,1
Asphenez,1
Astyages,1
Azarias,3
Babylon,1
Baltasar,1
Bel,3
Blessed,1
Cleopatra,1
CleopatraIbid,1
Cyrus,2
Daniel,14
Daniel be,1
Daniel Behold,1
Daniel grace,1
Darius,4
Destroy,1
Epiphanes,1
Gabriel,2
God,14
Helcias,1
Heliodorus,1
Hitherto,1
Isaac,1
Jeremias,1
Joakim,2
Juda,7
Judea,3
King Nabuchodonosor,1
lawIbid,1
Lord,7
Malasar,1
Michael,2
Misach,3
Misael,2
Moab,1
moon,1
Nabuchodonosor,4
Nehemias,1
Popilius,1
Ptolemeus,1
revealeth mysteries,1
Seleucus Callinicus,1
Seleucus Ceraunius,1
Seleucus Philopator,1
Sennaar,1
Sidrach,3
Susanna,1
