Name,Occurrences
3626,1
3828,1
Aaron,3
Abraham,1
Adam,4
Better,1
Blessed,4
breaketh friendship,1
bringeth death,1
bringeth sin,1
Dathan,1
David,5
Defraud,1
Depart,1
desireth favour,1
Elias,1
Eliseus,1
Enoch,1
Envy,1
Ephraim,1
Extol,2
Ezechias,1
Ezechiel,1
Fill Sion,1
Fodder,1
gathereth grapes,1
Gehon,1
Gentiles,1
giveth heed,1
God,47
Goliath,1
Grace,2
hateth chastisement,1
Henoch,1
Holy Ghost,3
Isaac,1
Jacob,8
Jeremias,1
Jericho,1
Jeroboam,1
Jesse,1
Jesus,4
Josedec,1
Joseph,1
Josias,1
Josue,1
Juda,3
keepeth justice,1
kindleth strife,1
King,1
King Manasses,1
knoweth al,1
Levi,1
Lord,38
loveth God,1
maketh haste,1
Marry,1
Melt,1
multiplieth offerings,1
myrrh,1
Nehemias,1
Phison,1
possesseth justice,1
raiseth quarrels,1
Rebuke,1
Repeat,1
Samuel,1
Shewn,1
Simon,1
Sion,2
Solomon,1
sticketh fast,1
Stretch,1
sweareth much,1
Tarry,1
tasteth venison,1
wolf,1
