Name,Occurrences
Abraham,4
Achaz,2
Adramelech,1
Aiath,1
Ammon,1
Amos,6
Ariel,1
Arphad,3
Baal Pharasim,1
Babylon,3
Baladan,1
Barachias,1
Benjamin,1
Counsellor,1
Cyrus,1
David,9
Depart,3
Desolate,1
Drop,1
Duma,1
Edom,1
Eliacim,3
Emath,2
Emmanuel,1
Ephraim,4
Ephraim Manasses,1
Ezechias,5
Father,1
forsaken,2
Forsaken,1
Gaba,1
Gabaath,1
Gabaon,1
Gabim,1
Gentiles,9
gith,1
God,56
Gozam,1
Hasten,1
heareth the
voice,1
Helcias,2
Into Aiath,1
Isaias,1
Jacob,14
Jasub,1
Jazer,1
Jeremias,1
Jesse,1
Jesus,1
Jesus Christ,1
Jordan,1
Juda,19
Leviathan,1
Libanus,8
Lift,1
Lord,64
Lucifer,1
Luith,1
Magron,1
Medemena,1
Merodach Baladan,1
Mighty,1
Moab,4
Moabites,2
Nebo,1
Nephtali,1
O Lucifer,1
Oronaim,1
Ozias,1
Pharao,2
preacheth peace,1
preacheth salvation,1
Rama,1
Rasin,3
Reseph,1
Romelia,2
Sabama,1
Sara,1
Sarasar,1
Sargon,1
Saron,2
Saul,1
scatter cummin,1
Seek,1
Sidon,1
Sion,18
the Galilee,1
the King of Jacob,1
the King the Lord,1
Torrent,1
Tyre,1
watchman,1
Watchman,1
Woe,2
wolf,1
Zacharias,1
