Name,Occurrences
143,1
451,1
828,1
851,1
Abraham,1
Andrew,3
Annas,1
Art thou Elias,1
Ascension,1
Barabbas,1
Bethania,1
Bethsaida,2
Blessed,1
Bosom,1
Caiphas,2
Cana,2
Capharnaum,3
Cephas,1
committeth sin,1
David,1
Didymus,2
Elias,1
Ephrem,1
Father,16
findeth Philip,1
Galileans,1
Galilee,4
Garizim,1
Gentiles,1
God,18
Greeks,1
heareth Him,1
herein,1
Hitherto,1
Holy Ghost,6
Hosanna,1
I Arise,1
I Be,1
Jacob,1
Jesus,20
Jesus
Christ,1
Jesus Christ,1
Joan,1
John,6
Joseph,3
Joseph of Arimathea,1
Judas,3
Judas Iscariot,3
Judea,3
Lazarus,2
Lord,12
Lovest,1
Martha,2
Mary,2
Mary Magdalen,2
Mary of Cleophas,1
Mary therefore,1
Matt,1
Messias,2
Nathanael,2
Paraclete,2
Peter,5
Pharisees,6
Phil,1
Philip,4
Philip findeth Nathanael,1
Pilate,1
Probatica,1
Saviour,1
Sent,1
sepulchre,1
Simon,4
Simon Peter,6
Solomon,1
St Luke,1
telleth Andrew,1
the King,1
the Lamb of God,1
Thomas,4
wherein,1
Zebedee,1
