Name,Occurrences
143,1
828,1
851,1
951,1
Aaron,1
Abel,1
Abraham,6
Adam,1
Aminadab,1
Amos,1
Andrew,1
Anna,2
Apostle,1
Aram,1
Arimathea,1
Barabbas,1
Bartholomew,1
Bethphage,1
Bethsaida,2
Blessed,1
bush,2
Caesar Augustus,1
Cainan,1
Caiphas,1
Capharnaum,2
committeth adultery,1
Cosan,1
Cyrene,1
Cyrinus,1
Daughter,1
David,6
Depart,2
Eliakim,1
Elias,2
Eliezer,1
Eliseus,1
Emmaus,1
Esron,1
Evangelist,1
Father,10
Gabriel,1
Galileans,1
Galilee,8
Gentiles,1
Gerasens,1
God,24
Gospel,1
Heber,1
Helmadan,1
Herod,2
Herodias,1
Holy Ghost,7
Isaac,3
Iscariot,1
Jacob,4
Jairus,1
James,4
James the Greater,1
Janne,1
Jesse,1
Jesus,19
Joanna,3
John,12
JOHN,1
John 14,1
John the Baptist,3
Jona,1
Jonas,1
Jorim,1
Joseph,5
Juda,2
Judas,2
Judas Iscariot,1
Jude,1
Judea,4
Lazarus,1
Levi,2
Lord,20
Mahath,1
Maid,1
Mark 4,1
Martha,1
Mary,4
Mary hath,1
Mary Magdalen,1
Mary of James,1
Mathathias,1
Matt,2
Matthew,2
Melea,1
Messias,1
Naaman,1
Naasson,1
Noe,1
Obed,1
Peter,7
Pharisee,3
Pharisees,7
Philip,2
Pilate,1
Ragau,1
Remove,1
Reza,1
Salmon,1
Salome,1
Salt,1
Samaritan,1
Sidon,2
Simeon,1
Simon,7
Simon Peter,2
sin,1
Solomon,2
Soul,1
St Joseph,1
Susanna,1
Thomas,1
Witham,1
Woe,1
Zacharias,1
Zachary,1
Zacheus,1
Zebedee,2
