Name,Occurrences
143,1
828,1
Abiathar,1
Abraham,1
Alexander,1
Andrew,3
Barabbas,1
Bartholomew,1
Bartimeus,1
Bethsaida,1
Blessed,2
bush,1
Caesarea
Philippi,1
Capharnaum,2
Crow,1
Daughter,1
David,4
Decapolis,1
Elias,4
Eloi,1
Ephpheta,1
Father,4
Galilean,1
Galilee,7
God,15
Golgotha,1
Good Master,1
Gospel,1
Herod,1
Herodias,1
Holy Ghost,4
Hosanna,1
Isaac,1
Jacob,1
Jairus,1
James,9
James of Alpheus,1
James the Less,1
Jesus,14
Jesus Christ,1
Jesus the Son,1
John,11
John the Baptist,3
Jordan,1
Joseph,2
Joseph of Arimathea,1
Judas Iscariot,2
Jude,1
Judea,2
Levi,1
Lord,10
LUKE,1
Mary,3
Mary Magdalen,2
Matt,1
Matthew,2
myrrh,1
Peter,9
Pharisees,4
Philip,2
Pilate,1
Sabbath,1
Salt,1
shalt thrice,1
Sidon,2
Simon,5
Son,1
St Luke,1
Stretch,1
the Holy Ghost,1
Thomas,1
Zebedee,2
