Name,Occurrences
Abel,1
Abia,1
Abiud,1
Abraham,4
Achaz,1
Achim,1
Adam,1
Alpheus,1
Aminadab,1
Amon,1
Andrew,2
Angel,1
Aram,1
Archelaus,1
Arimathea,1
Barabbas,1
Barachias,1
Bartholomew,1
Bethphage,1
Bethsaida,1
Bind,1
Blessed,2
Blessed Lady,1
Blessed Sacrament,1
Booz of Rahab,1
Brethren,1
calleth Elias,1
Canaan,1
Capharnaum,2
Cesarea Philippi,1
Corbona,1
Cyrene,1
Daniel,1
David,7
Dei,1
Depart,1
Eliacim,1
Elias,4
Emmanuel,1
Esron,1
Father,16
findeth none,1
Galilee,10
Gehenna,1
Gentiles,1
Gerasens,1
Gethsemani,1
God,17
Golgotha,1
Gospel,1
Haceldama,1
Hebrews,1
Helvidius,1
Herod,3
Herodias,1
Holy Ghost,4
Hosanna,1
Isaac,3
Isaias 46,1
Jacob,3
Jairus,1
James,5
James the son,1
Jechonias,1
Jeremias,3
Jesse,1
Jesus,25
Jesus Christ,1
Jesus Son,1
Jesus the Galilean,1
Joatham,1
John,9
John the Baptist,4
Jonas,2
Joram,1
Jordan,2
Joseph,4
Juda,1
Judas,3
Judas Iscariot,2
Jude,1
Judea,1
lib,1
Lord,24
Magedan,1
Mary,6
Mary Magdalen,2
Mathan,1
Matthew,2
meek,2
Messias,1
mount Olivet,1
myrrh,1
Naasson,1
Nazarene,1
Ozias,1
Paul,1
Peter,11
Pharisees,11
Philip,1
Pilate,1
Rabbi,2
Raca,1
Rachel,1
Roboam,1
Ruth,1
Sadoc,1
Salmon,1
Saviour,3
Scriptures,2
shew thyself,1
Sidon,2
Simon,6
Simon
BarJona,1
Simon Peter,1
Solomon,3
Son,2
St Augustine,1
St Luke 1,1
St Luke 10 16,1
St Luke 11,1
St Luke 22,1
St Mark 14,1
St Peter,1
Stretch,1
Supersubstantial,1
Thomas,1
thou knewest,1
Virgin,1
Virgin Mary,1
Whereupon Joseph,1
Whom,1
Zacharias,1
Zara,1
Zebedee,4
Zorobabel,1
