Name,Occurrences
1079,1
118108,1
3626,1
7114,1
7617,1
7728,1
7734,1
7751,1
Aaron,8
Abraham,2
Absalom,2
Abundance,1
Afferte Domino,1
Aggeus,2
Aleph,1
Alleluia,18
Ammon,1
Amorrhites,1
Babylon,1
Beati,1
Beati immaculati,1
Benedic,2
Benjamin,2
Blessed,4
Bonum,1
Cham,3
chastiseth nations,1
Clouds,1
Coeli,1
Confitemini Domino,5
Conserva,1
Convert us,2
corde suo,1
creepeth therein,1
David,89
Depart,4
Destroy,1
Deus,20
Deus Deus,2
Dilexi,1
Dispersed,1
Dixit Dominus,1
Domine,30
Domini,1
Domino,1
dwelleth

1242,1
Ephraim,4
Ethan,1
Exaudi Deus,1
Exultate,1
Ezechias,1
Ezechiel,1
Father,2
Fundamenta,1
Galaad,2
Gentiles,8
God,136
Goliath,1
Hebrews,1
Holy Ghost,2
Idithun,1
Initiated,1
Isaac,1
Israel Deus,1
Israelites,1
Jabin,1
Jacob,20
Jer,1
Jeremias,2
Jesse,1
Jesus,2
Jesus
Christ,1
Jesus Christ,1
Joab,1
Jonadab,1
Jordan,1
Joseph,5
Juda,7
Judas,3
Judea,1
Judea God,1
Judica,2
justitiam,1
keepeth Israel,1
King,1
LAMED,1
laudem,1
Lev,1
Levi,1
Libanus,4
Lift,1
Lord,140
Manasses,2
Matt,3
Misericordiam,1
Misericordias Domini,1
Moab,3
Myrrh,1
Nathan,1
Nisi Dominus,1
Nonne Deo,1
Num,2
praiseth God,1
Psalm Chapter,1
Quam,1
Quam dilecta,1
Qui,2
Quicken,1
Rahab,1
Rebuke,2
Redeemer,1
Requireth discretionIbid,1
rick,1
Samuel,1
Saul,4
Saviour,1
Scatter,1
Selmon,1
sepulchre,1
Shew,1
sin,1
Sion,13
Sisara,1
Sobal,1
Solomon,2
Spiritu Sancto,1
St Augustine,2
Surround Sion,1
the King of Glory,1
this King of Glory,1
thou comfort,1
thou knewest,1
Tim,1
tuo,1
Tyre,1
Woe,1
Zacharias,2
Zebee,1
Ziph,1
