Name,Total Occurrences,Books Found In
1079,1,"psalms"
118108,1,"psalms"
143,4,"deuteronomy;john;luke;mark"
1830,1,"3_kings"
3033,1,"proverbs"
3626,5,"ecclesiasticus;ezechiel;genesis;jeremias;psalms"
3828,4,"ecclesiasticus;exodus;genesis;jeremias"
4020,2,"exodus;genesis"
451,1,"john"
7114,1,"psalms"
7617,1,"psalms"
7728,1,"psalms"
7734,1,"psalms"
775,1,"numbers"
7751,1,"psalms"
828,9,"4_kings;acts;exodus;john;josue;judges;luke;mark;romans"
851,3,"3_kings;john;luke"
951,2,"judges;luke"
a Holy Ghost,1,"acts"
Aaron,92,"1_kings;3_kings;acts;deuteronomy;ecclesiasticus;exodus;hebrews;josue;judges;leviticus;luke;numbers;psalms;wisdom"
Abaddon,1,"apocalypse"
Abarim,3,"deuteronomy;numbers"
Abdemelech,2,"jeremias"
Abdon,1,"judges"
Abel,6,"genesis;hebrews;judges;luke;matthew"
Abel Domum Maacha,1,"4_kings"
Abela,1,"2_kings"
Abeldomum Maacha,1,"3_kings"
Abelmahula,1,"judges"
Abelmehula,1,"3_kings"
Abenboen,1,"josue"
Abesan,1,"judges"
Abeson,1,"judges"
Abi,1,"4_kings"
Abia,1,"matthew"
Abiam,2,"3_kings"
Abiasaph,1,"exodus"
Abiathar,13,"1_kings;2_kings;3_kings;mark"
Abidan,4,"numbers"
Abiel,2,"1_kings"
Abiezer,3,"josue;judges"
Abigail,6,"1_kings;2_kings"
Abimael,1,"genesis"
Abimelech,7,"2_kings;genesis;judges"
Abimelech king,1,"judges"
Abinadab,3,"1_kings;2_kings"
Abiron,2,"numbers"
Abisag,2,"3_kings"
Abisai,10,"1_kings;2_kings"
Abiu,6,"exodus;leviticus;numbers"
Abiud,1,"matthew"
Ablesatim,1,"numbers"
Abraham,73,"1_peter;2_corinthians;3_kings;4_kings;acts;baruch;daniel;deuteronomy;ecclesiasticus;exodus;ezechiel;galatians;genesis;hebrews;isaias;james;jeremias;john;josue;leviticus;luke;mark;matthew;numbers;psalms;romans;wisdom"
Absalom,11,"2_kings;3_kings;psalms"
Abundance,2,"genesis;psalms"
Accaron,8,"1_kings;4_kings;jeremias;josue;judges"
Achab,14,"3_kings;4_kings;jeremias"
Achaia,6,"1_corinthians;2_corinthians;acts"
Achaz,5,"4_kings;isaias;matthew"
Achias,1,"1_kings"
Achim,1,"matthew"
Achimaas,1,"2_kings"
Achinoam,5,"1_kings;2_kings"
Achisamech,3,"exodus"
Achitophel,4,"2_kings"
Achsaph,1,"josue"
Achzib,1,"josue"
Achziba,1,"josue"
Ada,2,"genesis"
Adad,2,"3_kings;genesis"
Adam,21,"1_corinthians;1_timothy;2_kings;deuteronomy;ecclesiastes;ecclesiasticus;genesis;jeremias;jude;luke;matthew;romans;wisdom"
Adama,1,"genesis"
Adami,1,"josue"
Adar,1,"genesis"
Adarezer,3,"2_kings;3_kings"
addeth knowledge,1,"ecclesiastes"
Adeodatus,1,"2_kings"
Adino,1,"2_kings"
Adithaim,1,"josue"
Adonias,2,"3_kings"
Adoniram,2,"3_kings"
Adonis,1,"ezechiel"
Adonisedec,1,"josue"
Adoravit,1,"genesis"
Adramelech,2,"4_kings;isaias"
Aduram,1,"genesis"
Aen,1,"josue"
Afferte Domino,1,"psalms"
Agar,1,"genesis"
Aggeus,2,"psalms"
Agrippa,2,"acts"
Ahia,1,"3_kings"
Ahias,2,"3_kings"
Ahicam,5,"4_kings;jeremias"
Ahiezar,1,"numbers"
Ahiman,2,"josue;judges"
Ahinadab,1,"3_kings"
Ahio,1,"2_kings"
Ahira,4,"numbers"
Ahod,2,"exodus;genesis"
Aia,1,"2_kings"
Aialon,4,"1_kings;josue;judges"
Aiath,1,"isaias"
Aila,1,"4_kings"
Ain,1,"josue"
Aion,1,"4_kings"
al Juda,1,"jeremias"
Alas,1,"jeremias"
Aleazar,1,"apocalypse"
Aleph,5,"lamentations;psalms"
Alexander,10,"1_timothy;2_timothy;acts;daniel;jeremias;mark"
Alexander the Great,3,"daniel;ezechiel"
Alexandria,2,"ezechiel;jeremias"
Aliam,1,"2_kings"
Alleluia,19,"apocalypse;psalms"
Almon,1,"josue"
Alpha,3,"apocalypse"
Alpheus,1,"matthew"
Alva,1,"genesis"
Amaad,1,"josue"
Amalec,2,"exodus;numbers"
Amalech,1,"genesis"
Amalecites,3,"1_kings;judges"
Aminadab,9,"canticle_of_canticles;exodus;luke;matthew;numbers;ruth"
Amma,1,"josue"
Ammiel,2,"2_kings;numbers"
Ammihel,1,"2_kings"
Ammon,34,"1_kings;2_kings;3_kings;4_kings;daniel;deuteronomy;ezechiel;genesis;isaias;jeremias;josue;judges;numbers;psalms"
Ammon ravisheth Thamar,1,"2_kings"
Ammoni,1,"2_kings"
Ammonites,3,"deuteronomy;ezechiel;judges"
Amon,4,"3_kings;4_kings;jeremias;matthew"
Amon succeedeth him,1,"4_kings"
Amorrhite,2,"exodus;judges"
Amorrhites,1,"psalms"
Amos,9,"4_kings;isaias;luke"
Amram,1,"exodus"
Amraphel,1,"genesis"
Amri,2,"3_kings;4_kings"
Amthar,1,"josue"
Anab,1,"josue"
Anamim,1,"genesis"
Ananias,4,"acts;daniel"
Anathoth,1,"josue"
Anathothite,1,"jeremias"
Andrew,10,"acts;john;luke;mark;matthew"
Angel,8,"matthew;revelation"
angustia
temporum,1,"daniel"
Anna,4,"1_kings;luke"
Annas,2,"acts;john"
Antichrist,12,"1_john;2_thessalonians;apocalypse;daniel;ezechiel;jude"
Antioch,4,"acts;galatians"
Antiochus Epiphanes,3,"daniel"
Antipas,1,"apocalypse"
Antipatris,1,"acts"
Aod,3,"judges"
Apadno,1,"daniel"
Apheca,2,"josue"
Apoc,4,"1_john;daniel;exodus;ezechiel"
Apocalypse,1,"apocalypse"
Apocalypsis Joannis,1,"apocalypse"
Apollo,2,"1_corinthians"
Apostle,6,"1_john;1_timothy;2_timothy;james;luke;titus"
Aquila,4,"1_corinthians;2_timothy;acts;romans"
Arach,1,"genesis"
Arad,3,"ezechiel;numbers"
Arada,1,"numbers"
Aram,6,"genesis;luke;matthew;numbers;ruth"
Arama,2,"1_kings;josue"
Aran,2,"genesis"
Arari,1,"2_kings"
Archelaus,1,"matthew"
Arebba,1,"josue"
Areuna,1,"2_kings"
Ariel,3,"ezechiel;isaias;numbers"
Arimathea,2,"luke;matthew"
Arioch,2,"daniel;genesis"
Armagedon,1,"apocalypse"
Armoni,1,"2_kings"
Arnon,4,"4_kings;deuteronomy;josue"
Arodites,1,"numbers"
Arphad,6,"4_kings;isaias;jeremias"
Art thou Elias,1,"john"
Artaxerxes,1,"daniel"
Artemas,1,"titus"
Asael,3,"2_kings"
Asan,3,"1_kings;josue"
Asbel,2,"genesis;numbers"
Asbelites,1,"numbers"
Ascalon,6,"1_kings;2_kings;jeremias;judges"
Ascension,1,"john"
Asedoth,3,"josue"
Asem,1,"josue"
Asemona,1,"numbers"
Aser,16,"deuteronomy;exodus;ezechiel;genesis;josue;judges;numbers"
Asergadda,1,"josue"
Asor,7,"4_kings;jeremias;josue;judges"
Asphenez,1,"daniel"
Asriel,1,"numbers"
Assos,1,"acts"
Assurim,1,"genesis"
Astyages,1,"daniel"
Athalia,1,"4_kings"
Athmatha,1,"josue"
Augustus,1,"acts"
Avah,1,"4_kings"
availeth much,1,"james"
Avim,1,"josue"
Avith,1,"genesis"
Azarias,5,"4_kings;daniel"
Azau,1,"genesis"
Azecha,1,"jeremias"
Baal,13,"3_kings;4_kings;jeremias;judges;numbers"
Baal Hermon,1,"judges"
Baal Pharasim,1,"isaias"
Baal Pharisim,1,"2_kings"
Baalath Beer,1,"josue"
Baalgad,1,"josue"
Baalim,8,"1_kings;jeremias;judges"
Baalis,1,"jeremias"
Baalmaon,1,"josue"
Baalsalisa,1,"4_kings"
Baalthamar,1,"judges"
Baana,1,"3_kings"
Babylon,24,"4_kings;apocalypse;baruch;daniel;ezechiel;isaias;jeremias;psalms"
Bala,6,"genesis;josue"
Balaam,6,"josue;numbers"
Balac,4,"josue;numbers"
Baladan,2,"4_kings;isaias"
bald head,1,"4_kings"
Balm,1,"genesis"
Baloth,1,"josue"
Baltasar,1,"daniel"
Balthasar,1,"baruch"
Bamothbaal,1,"josue"
Banaias,7,"2_kings;3_kings;ezechiel"
Bane,1,"josue"
Bara,1,"genesis"
Barabbas,4,"john;luke;mark;matthew"
Barac,1,"judges"
Barach,1,"josue"
Barachias,2,"isaias;matthew"
Barnabas,8,"acts;galatians"
Barsabas,1,"acts"
Bartholomew,4,"acts;luke;mark;matthew"
Bartimeus,1,"mark"
Basan,2,"deuteronomy;josue"
Basemath,3,"3_kings;genesis"
Bason,1,"jeremias"
Bathuel,2,"genesis"
Battlement,1,"deuteronomy"
Baziothia,1,"josue"
Beast,5,"revelation"
Beati,1,"psalms"
Beati immaculati,1,"psalms"
Bechorath,1,"1_kings"
Bedan,1,"1_kings"
Beelmeon,1,"ezechiel"
Beelsephon,1,"exodus"
Beeri,1,"genesis"
Began,1,"genesis"
begetteth death,1,"james"
Behold Abner,1,"2_kings"
Behold Adam,1,"genesis"
Behold Adonias,1,"3_kings"
